time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-29T20:17:10.978Z,39.2849,-115.081,1.9,1.5,ml,5,194.51,0.313,0.3059,nn,nn00628081,2018-03-29T20:33:05.795Z,"17km WNW of Ely, Nevada",explosion,,18.4,0.48,4,reviewed,nn,nn
2018-03-29T20:12:07.520Z,56.2455,-148.5538,10,4.2,mb,,158,2.689,0.79,us,us1000db02,2018-03-29T20:27:25.040Z,"290km SE of Kodiak, Alaska",earthquake,9.3,2,0.264,4,reviewed,us,us
2018-03-29T20:01:57.100Z,36.6015,-114.742,0,1.8,ml,17,297.66,0.149,0.35,nn,nn00628069,2018-03-29T20:04:22.900Z,"15km SW of Moapa Town, Nevada",earthquake,,20.2,,,automatic,nn,nn
2018-03-29T20:00:44.542Z,62.045,-148.8997,20.1,2.9,ml,,,,0.78,ak,ak18822670,2018-03-29T20:11:57.848Z,"27km N of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-29T20:00:13.440Z,43.2968333,-110.7046667,7.11,1.37,ml,9,108,0.126,0.13,mb,mb80287494,2018-03-29T23:02:08.980Z,"6km ENE of Hoback, Wyoming",earthquake,0.79,2.15,0.226,8,reviewed,mb,mb
2018-03-29T19:49:20.590Z,33.4951667,-116.7893333,6.18,0.16,ml,24,57,0.08244,0.15,ci,ci37902383,2018-03-29T20:39:52.715Z,"9km NE of Aguanga, CA",earthquake,0.23,0.88,0.052,3,reviewed,ci,ci
2018-03-29T19:49:05.310Z,33.4935,-116.789,6.32,0.11,ml,19,96,0.08371,0.1,ci,ci37183420,2018-03-29T20:45:54.420Z,"9km NE of Aguanga, CA",earthquake,0.2,0.54,0.071,4,reviewed,ci,ci
2018-03-29T19:48:31.410Z,56.4434,-148.681,13.6,4.3,mb,,139,2.516,0.56,us,us1000daza,2018-03-29T21:12:01.898Z,"270km ESE of Kodiak, Alaska",earthquake,6.6,6.3,0.086,38,reviewed,us,us
2018-03-29T19:32:20.430Z,33.1861667,-115.6068333,2.19,1.09,ml,11,116,0.01139,0.17,ci,ci37902375,2018-03-29T20:10:48.074Z,"10km SW of Niland, CA",earthquake,0.58,0.28,0.455,5,reviewed,ci,ci
2018-03-29T19:30:43.650Z,36.0011667,-117.6838333,2.48,1.29,ml,26,40,0.05968,0.12,ci,ci37902359,2018-03-29T20:08:43.924Z,"21km ENE of Little Lake, CA",earthquake,0.14,0.21,0.092,12,reviewed,ci,ci
2018-03-29T19:24:01.605Z,38.3888,-118.9116,2.6,1.2,ml,6,226.86,0.133,,nn,nn00628172,2018-03-29T22:43:20.232Z,"29km WSW of Hawthorne, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T19:21:04.230Z,45.0953333,-122.4855,-1.02,2.08,ml,7,152,0.1107,0.22,uw,uw61358587,2018-03-29T20:27:57.110Z,"9km SE of Molalla, Oregon",explosion,1.15,31.61,0.153,7,reviewed,uw,uw
2018-03-29T19:19:20.380Z,56.5156,-148.5914,10,4.5,mb,,137,2.519,0.78,us,us1000dayk,2018-03-29T20:56:51.330Z,"271km ESE of Kodiak, Alaska",earthquake,5.8,1.9,0.066,67,reviewed,us,us
2018-03-29T19:19:07.450Z,62.5331,-149.0475,60.6,1.3,ml,,,,0.38,ak,ak18822603,2018-03-29T19:35:43.381Z,"58km NE of Y, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-03-29T19:05:57.770Z,34.0516667,-117.3435,-0.46,1.04,ml,18,108,0.06379,0.21,ci,ci37902343,2018-03-29T19:57:38.668Z,"3km NW of Grand Terrace, CA",quarry blast,0.48,31.61,0.151,10,reviewed,ci,ci
2018-03-29T19:03:25.980Z,37.5021667,-118.8256667,5.09,0.67,md,7,248,0.08775,0.02,nc,nc72991265,2018-03-29T20:13:03.237Z,"14km WSW of Toms Place, CA",earthquake,1.29,2.45,0.083,6,reviewed,nc,nc
2018-03-29T19:02:20.243Z,61.2354,-151.1673,59.8,1.2,ml,,,,0.51,ak,ak18821505,2018-03-29T19:33:56.213Z,"61km N of Nikiski, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-03-29T19:01:07.772Z,60.1455,-141.4003,0.3,1.3,ml,,,,0.88,ak,ak18821500,2018-03-29T19:04:09.104Z,"57km E of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-03-29T18:52:46.021Z,61.7061,-150.79,59.4,1.1,ml,,,,0.58,ak,ak18821496,2018-03-29T23:20:37.081Z,"40km W of Willow, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-03-29T18:51:09.010Z,-9.4187,159.5609,10,5.8,mww,,45,11.97,0.85,us,us1000day0,2018-03-29T22:27:51.214Z,"42km W of Honiara, Solomon Islands",earthquake,9.2,1.9,0.073,18,reviewed,us,us
2018-03-29T18:45:29.536Z,61.8951,-148.8849,19.9,1.2,ml,,,,0.57,ak,ak18821493,2018-03-29T18:52:46.626Z,"11km N of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
